0.1 2.525
0.2 1.3
0.3 0.908333
0.4 0.725
0.5 0.625
0.6 0.566667
0.7 0.532143
0.8 0.5125
0.9 0.502778
1 0.5
1.1 0.502273
1.2 0.508333
1.3 0.517308
1.4 0.528571
1.5 0.541667
1.6 0.55625
1.7 0.572059
1.8 0.588889
1.9 0.606579
2 0.625
2.1 0.644048
2.2 0.663636
2.3 0.683696
2.4 0.704167
2.5 0.725
2.6 0.746154
2.7 0.767593
2.8 0.789286
2.9 0.811207
3 0.833333
3.1 0.855645
3.2 0.878125
3.3 0.900758
3.4 0.923529
3.5 0.946429
3.6 0.969444
3.7 0.992568
3.8 1.01579
3.9 1.0391
4 1.0625
4.1 1.08598
4.2 1.10952
4.3 1.13314
4.4 1.15682
4.5 1.18056
4.6 1.20435
4.7 1.22819
4.8 1.25208
4.9 1.27602
5 1.3
