x 		y 		Rosen 		Rosen_int 	Himmel 		Himmel_int 	dgauss 		dgauss_int
-2.76      	-3         	1.129e+04  	1.255e+04  	41.31      	43.97      	6.068e-08  	2.094e-06 
-2.76      	-2.8       	1.087e+04  	1.214e+04  	41.91      	49.28      	1.936e-07  	0.0002403 
-2.76      	-2.6       	1.045e+04  	1.174e+04  	44.79      	54.59      	5.7e-07    	0.0004784 
-2.76      	-2.4       	1.005e+04  	1.133e+04  	49.44      	59.9       	1.549e-06  	0.0007166 
-2.76      	-2.2       	9653       	1.092e+04  	55.37      	65.21      	3.888e-06  	0.0009548 
-2.76      	-2         	9264       	1.052e+04  	62.15      	70.53      	9.006e-06  	0.001193  
-2.76      	-1.8       	8883       	1.011e+04  	69.37      	75.84      	1.926e-05  	0.001431  
-2.76      	-1.6       	8511       	9704       	76.66      	81.15      	3.801e-05  	0.001669  
-2.76      	-1.4       	8146       	9327       	83.71      	85.63      	6.926e-05  	0.0028    
-2.76      	-1.2       	7789       	8980       	90.22      	89.28      	0.0001165  	0.004824  
-2.76      	-1         	7440       	8633       	95.94      	92.93      	0.0001809  	0.006848  
-2.76      	-0.8       	7100       	8287       	100.7      	96.57      	0.0002593  	0.008872  
-2.76      	-0.6       	6767       	7940       	104.2      	100.2      	0.0003431  	0.0109    
-2.76      	-0.4       	6442       	7593       	106.5      	103.9      	0.000419   	0.01292   
-2.76      	-0.2       	6126       	7246       	107.3      	107.5      	0.0004724  	0.01494   
-2.76      	0          	5817       	6899       	106.7      	111.2      	0.0004917  	0.01697   
-2.76      	0.2        	5516       	6613       	104.6      	105.1      	0.0004724  	0.01494   
-2.76      	0.4        	5224       	6326       	101.1      	98.94      	0.000419   	0.01292   
-2.76      	0.6        	4939       	6039       	96.1       	92.83      	0.0003431  	0.0109    
-2.76      	0.8        	4662       	5752       	89.84      	86.72      	0.0002593  	0.008872  
-2.76      	1          	4393       	5465       	82.41      	80.61      	0.0001809  	0.006848  
-2.76      	1.2        	4133       	5179       	73.99      	74.49      	0.0001165  	0.004824  
-2.76      	1.4        	3880       	4892       	64.77      	68.38      	6.926e-05  	0.0028    
-2.76      	1.6        	3635       	4635       	55.02      	61.44      	3.801e-05  	0.001669  
-2.76      	1.8        	3399       	4408       	45.01      	53.66      	1.926e-05  	0.001431  
-2.76      	2          	3170       	4181       	35.09      	45.89      	9.006e-06  	0.001193  
-2.76      	2.2        	2949       	3955       	25.6       	38.11      	3.888e-06  	0.0009548 
-2.76      	2.4        	2736       	3728       	16.97      	30.33      	1.549e-06  	0.0007166 
-2.76      	2.6        	2532       	3501       	9.612      	22.56      	5.7e-07    	0.0004784 
